name,no_monopoly,one_from_monopoly,two_from_monopoly,three_from_monopoly,two_from_monopoly_me,one_from_monopoly_me,one_building,two_building,three_building,four_building,five_building
Mediterranean Avenue,0.0020462502594583744,0,0,0,0,0,0.0063221659572386115,0.014622594432923096,0.03484959533328505,0.05040231960372927,0.06531829624187852
Baltic Avenue,0.0042211643804546395,0,0,0,0,0,0.013041856255198396,0.030164626484361304,0.07189045905512008,0.10397382979922873,0.12126930114846467
Reading Railroad,0.2105350066050198,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.007822500202194483,0,0,0,0,0,0.014972754293262877,0.03549097313958608,0.08624306472919417,0.1055929779359586,0.12200022016732714
Vermont Avenue,0.00841452565174022,0,0,0,0,0,0.016105928005284015,0.03817701453104359,0.09277014531043593,0.11358450604277433,0.13123348745046234
Connecticut Avenue,0.011310650148166663,0,0,0,0,0,0.018287367787273433,0.03650850699043723,0.0894755457935013,0.11169985033500807,0.12588026837961888
St. Charles Place,0.00551977119798547,0,0,0,0,0,0.014745501687198998,0.03433093845199903,0.08224505490628288,0.09331819438690565,0.09319756144864001
Electric Company,0.04470277410832233,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
States Avenue,0.006440861851882432,0,0,0,0,0,0.01720610074175,0.04005978216914243,0.09596938308696322,0.108890310260058,0.10874954716276891
Virginia Avenue,0.007502429118857605,0,0,0,0,0,0.01768123552293095,0.04142515537335687,0.09234557326067813,0.10604125351001899,0.11384529174396085
Pennsylvania Railroad,0.24223910171730517,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
St. James Place,0.010658479337029706,0,0,0,0,0,0.022502012772310506,0.0505099784927454,0.11200130174734547,0.12575529624737022,0.1334357260038169
Tennessee Avenue,0.010734071389065378,0,0,0,0,0,0.02266160151537654,0.050868205290566286,0.1127956372207309,0.1266471777810395,0.13438207867051064
New York Avenue,0.013600409780821178,0,0,0,0,0,0.026032034346103038,0.05656343265326092,0.12495376486129459,0.1376900990207103,0.14462241303390577
Kentucky Avenue,0.008222881125227496,0,0,0,0,0,0.021026646705577873,0.04542512387534683,0.10173840033521689,0.10403328250432642,0.10401499650280455
Indiana Avenue,0.008047748768605005,0,0,0,0,0,0.02057881751610816,0.04445765166299158,0.099571558137408,0.10181756350575558,0.10179966696268396
Illinois Avenue,0.00955877982418153,0,0,0,0,0,0.022527508718260227,0.0527794309180656,0.1058910240532805,0.10711994800633745,0.10636948527968057
B. & O. Railroad,0.2385237780713342,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.01126643760286148,0,0,0,0,0,0.02463776453457779,0.057955671507012196,0.11311204885012666,0.11336459928518708,0.11189150060864438
Ventnor Avenue,0.011099774324712644,0,0,0,0,0,0.0242733005621728,0.05709833908826941,0.11143879368962183,0.11168760817150088,0.11023630089549877
Water Works,0.05136063408190225,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.011584889726862599,0,0,0,0,0,0.02364316271345826,0.05583256220626257,0.10645935596955805,0.10583687209490623,0.10390335741137258
Pacific Avenue,0.00889848592622701,0,0,0,0,0,0.02227917217084984,0.05203612877274618,0.0961332274578541,0.09618166949738943,0.09293787285898719
North Carolina Avenue,0.008971649222639976,0,0,0,0,0,0.02246235138705416,0.05246396950263515,0.09692363426120748,0.09697247459089316,0.09370200747653282
Pennsylvania Avenue,0.0089973834659796,0,0,0,0,0,0.022719049718783507,0.05322819003881566,0.09492565912593573,0.09343199086913033,0.0910202752903146
Short Line,0.2088011889035667,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Park Place,0.010068985762512844,0,0,0,0,0,0.021823370360849897,0.04891488960181165,0.08667036651997528,0.08425847668024344,0.08137719297721044
Boardwalk,0.016579947699026768,0,0,0,0,0,0.025388044914134742,0.06017906942609715,0.11373844121532364,0.11414129283710164,0.11283575517393217
