name,value
Mediterranean Avenue,0.03925
Baltic Avenue,0.0855
Reading Railroad,0.54625
Oriental Avenue,0.12329999999999999
Vermont Avenue,0.12614999999999998
Connecticut Avenue,0.1596
St. Charles Place,0.208
Electric Company,0.0871
States Avenue,0.23825
Virginia Avenue,0.2682
Pennsylvania Railroad,0.62125
St. James Place,0.35175
Tennessee Avenue,0.3619
New York Avenue,0.4112
Kentucky Avenue,0.45765
Indiana Avenue,0.44639999999999996
Illinois Avenue,0.502
B. & O. Railroad,0.6375
Atlantic Avenue,0.56375
Ventnor Avenue,0.5467
Water Works,0.1041
Marvin Gardens,0.6024
Pacific Avenue,0.62205
North Carolina Avenue,0.637
Pennsylvania Avenue,0.6727000000000001
Short Line,0.54125
Park Place,0.71225
Boardwalk,1.0525
